idade,renda,tipo_moradia,tempo_emprego,finalidade_emp,score_emp,valor_emp,tx_jr_emp,perc_comp_renda,hist_inad,hist_credito,inad
22,59000,ALUGADA,123.0,PESSOAL,D,35000,16.02,0.59,S,3,1
21,9600,PROPRIA,5.0,EDUCACAO,B,1000,11.14,0.1,N,2,0
25,9600,FINANCIADA,1.0,SAUDE,C,5500,12.87,0.57,N,3,1
23,65500,ALUGADA,4.0,SAUDE,C,35000,15.23,0.53,N,2,1
24,54400,ALUGADA,8.0,SAUDE,C,35000,14.27,0.55,S,4,1
21,9900,PROPRIA,2.0,LAZER,A,2500,7.14,0.25,N,2,1
26,77100,ALUGADA,8.0,EDUCACAO,B,35000,12.42,0.45,N,3,1
24,78956,ALUGADA,5.0,SAUDE,B,35000,11.11,0.44,N,4,1
24,83000,ALUGADA,8.0,PESSOAL,A,35000,8.9,0.42,N,2,1
21,10000,PROPRIA,6.0,LAZER,D,1600,14.74,0.16,N,3,1
22,85000,ALUGADA,6.0,LAZER,B,35000,10.37,0.41,N,4,1
21,10000,PROPRIA,2.0,REFORMA,A,4500,8.63,0.45,N,2,1
23,95000,ALUGADA,2.0,LAZER,A,35000,7.9,0.37,N,2,1
26,108160,ALUGADA,4.0,EDUCACAO,E,35000,18.39,0.32,N,4,1
23,115000,ALUGADA,2.0,EDUCACAO,A,35000,7.9,0.3,N,4,0
23,500000,FINANCIADA,7.0,RENEGOCIACAO,B,30000,10.65,0.06,N,3,0
23,120000,ALUGADA,0.0,EDUCACAO,A,35000,7.9,0.29,N,4,0
23,92111,ALUGADA,7.0,SAUDE,F,35000,20.25,0.32,N,4,1
23,113000,ALUGADA,8.0,RENEGOCIACAO,D,35000,18.25,0.31,N,4,1
24,10800,FINANCIADA,8.0,EDUCACAO,B,1750,10.99,0.16,N,2,1
25,162500,ALUGADA,2.0,LAZER,A,35000,7.49,0.22,N,4,0
25,137000,ALUGADA,9.0,PESSOAL,E,34800,16.77,0.25,S,2,0
22,65000,ALUGADA,4.0,EDUCACAO,D,34000,17.58,0.52,N,4,1
24,10980,PROPRIA,0.0,PESSOAL,A,1500,7.29,0.14,N,3,0
22,80000,ALUGADA,3.0,PESSOAL,D,33950,14.54,0.42,S,4,1
24,67746,ALUGADA,8.0,REFORMA,C,33000,12.68,0.49,N,3,1
21,11000,FINANCIADA,3.0,LAZER,E,4575,17.74,0.42,S,3,1
23,11000,PROPRIA,0.0,PESSOAL,A,1400,9.32,0.13,N,3,0
24,65000,ALUGADA,6.0,REFORMA,B,32500,9.99,0.5,N,3,1
21,11389,OUTROS,5.0,EDUCACAO,C,4000,12.84,0.35,S,2,1
21,11520,PROPRIA,5.0,SAUDE,B,2000,11.12,0.17,N,3,1
25,120000,ALUGADA,2.0,LAZER,A,32000,6.62,0.27,N,2,0
26,95000,ALUGADA,7.0,REFORMA,C,31050,14.17,0.33,S,3,1
25,306000,ALUGADA,2.0,RENEGOCIACAO,C,24250,13.85,0.08,N,3,0
26,300000,FINANCIADA,10.0,SAUDE,C,7800,13.49,0.03,N,4,0
21,12000,PROPRIA,5.0,EDUCACAO,A,2500,7.51,0.21,N,4,1
22,48000,ALUGADA,1.0,EDUCACAO,E,30000,18.39,0.63,N,2,1
24,64000,ALUGADA,8.0,RENEGOCIACAO,D,30000,14.54,0.47,S,3,1
25,75000,ALUGADA,4.0,REFORMA,D,30000,16.89,0.4,S,4,1
26,62050,ALUGADA,6.0,SAUDE,E,30000,17.99,0.41,N,2,1
24,12000,PROPRIA,4.0,LAZER,B,2500,12.69,0.21,N,3,1
26,300000,FINANCIADA,10.0,LAZER,A,20000,7.88,0.07,N,4,0
23,300000,PROPRIA,1.0,EDUCACAO,F,24250,19.41,0.08,S,2,0
26,300000,PROPRIA,9.0,REFORMA,B,10000,10.38,0.03,N,4,0
26,300000,FINANCIADA,0.0,EDUCACAO,D,25000,15.33,0.08,N,3,0
25,300000,FINANCIADA,9.0,REFORMA,E,18000,16.45,0.06,N,3,0
26,80690,ALUGADA,8.0,PESSOAL,A,30000,7.49,0.37,N,3,1
22,66300,ALUGADA,4.0,SAUDE,B,30000,12.69,0.38,N,3,1
26,89028,ALUGADA,0.0,RENEGOCIACAO,A,30000,6.62,0.34,N,3,1
23,78000,ALUGADA,7.0,RENEGOCIACAO,F,30000,18.62,0.38,S,3,1
23,92004,ALUGADA,6.0,PESSOAL,C,30000,15.23,0.33,S,3,1
23,97000,ALUGADA,7.0,LAZER,B,30000,10.65,0.31,N,2,1
25,120000,ALUGADA,9.0,EDUCACAO,A,30000,7.9,0.25,N,4,0
26,280000,ALUGADA,4.0,PESSOAL,C,10000,15.96,0.04,S,3,0
26,277104,ALUGADA,0.0,LAZER,B,20000,11.48,0.07,N,3,0
25,128000,ALUGADA,9.0,PESSOAL,A,30000,7.29,0.23,N,4,0
21,131000,ALUGADA,0.0,LAZER,A,30000,5.99,0.23,N,4,0
22,275000,PROPRIA,6.0,LAZER,B,12000,11.58,0.04,N,2,0
25,221850,FINANCIADA,9.0,SAUDE,D,25000,15.7,0.1,N,2,1
22,70000,ALUGADA,6.0,EDUCACAO,D,29100,15.99,0.42,N,3,1
22,12000,FINANCIADA,7.0,EDUCACAO,D,1500,14.84,0.13,S,3,0
26,260000,PROPRIA,10.0,REFORMA,B,28000,10.99,0.11,N,3,0
25,259000,FINANCIADA,9.0,REFORMA,D,20000,14.42,0.08,S,2,0
24,255000,FINANCIADA,9.0,EDUCACAO,A,9600,6.99,0.04,N,2,0
25,250000,ALUGADA,2.0,SAUDE,C,25000,13.49,0.1,N,4,0
21,12000,PROPRIA,6.0,EDUCACAO,C,3000,13.61,0.25,S,3,1
23,65000,ALUGADA,2.0,EDUCACAO,A,28000,7.9,0.43,N,2,1
26,85000,ALUGADA,2.0,LAZER,A,28000,7.49,0.33,N,3,1
26,12000,PROPRIA,2.0,EDUCACAO,A,6100,7.51,0.51,N,3,1
22,88000,ALUGADA,6.0,LAZER,B,28000,9.91,0.32,N,3,1
21,12000,PROPRIA,0.0,PESSOAL,C,4200,13.48,0.35,S,4,1
22,12000,PROPRIA,6.0,RENEGOCIACAO,A,4750,7.14,0.4,N,2,1
24,83004,ALUGADA,0.0,LAZER,D,28000,15.99,0.34,S,4,1
24,250000,ALUGADA,2.0,EDUCACAO,C,18000,12.98,0.07,S,3,0
144,250000,ALUGADA,4.0,LAZER,C,4800,13.57,0.02,N,3,0
25,100000,ALUGADA,5.0,RENEGOCIACAO,B,28000,12.69,0.28,N,3,0
26,110000,ALUGADA,10.0,EDUCACAO,A,28000,8.9,0.25,N,2,0
23,151200,ALUGADA,7.0,RENEGOCIACAO,B,28000,11.11,0.19,N,2,0
21,12000,FINANCIADA,5.0,RENEGOCIACAO,E,3250,15.68,0.27,S,3,1
22,70000,ALUGADA,4.0,EDUCACAO,C,27500,13.06,0.39,S,3,1
26,73200,ALUGADA,5.0,LAZER,D,27050,15.62,0.37,S,2,1
24,83000,ALUGADA,5.0,PESSOAL,C,27000,13.49,0.33,S,2,1
23,62500,ALUGADA,7.0,SAUDE,B,26000,11.71,0.42,N,2,1
23,120000,ALUGADA,1.0,EDUCACAO,B,25600,12.69,0.21,N,3,0
24,12360,PROPRIA,2.0,SAUDE,C,1600,13.57,0.13,N,3,0
22,60000,ALUGADA,0.0,LAZER,B,25475,10.99,0.42,N,3,1
25,234000,FINANCIADA,3.0,SAUDE,C,20000,14.27,0.09,S,4,0
24,234000,PROPRIA,8.0,REFORMA,B,20000,8.88,0.09,N,4,0
26,234000,FINANCIADA,10.0,REFORMA,B,21600,12.18,0.09,N,3,0
25,221004,FINANCIADA,6.0,RENEGOCIACAO,D,11900,14.42,0.05,S,3,1
26,232500,FINANCIADA,0.0,SAUDE,C,25000,14.17,0.11,S,2,0
25,230000,FINANCIADA,5.0,SAUDE,C,35000,13.99,0.15,N,4,0
23,83000,ALUGADA,7.0,EDUCACAO,B,25300,10.99,0.3,N,3,1
25,12600,PROPRIA,3.0,PESSOAL,C,1750,13.61,0.14,N,3,0
21,42500,ALUGADA,3.0,EDUCACAO,C,25000,12.73,0.59,S,3,1
25,12816,PROPRIA,0.0,RENEGOCIACAO,C,3000,12.87,0.23,S,4,1
24,12960,FINANCIADA,1.0,REFORMA,B,3650,9.91,0.28,N,3,1
26,226000,FINANCIADA,4.0,REFORMA,B,20000,11.49,0.09,N,4,0
25,225000,FINANCIADA,0.0,REFORMA,E,30000,19.91,0.13,S,2,0
26,213000,FINANCIADA,6.0,EDUCACAO,B,35000,10.65,0.16,N,2,1
24,12960,FINANCIADA,0.0,RENEGOCIACAO,B,4500,11.83,0.35,N,4,1
23,12996,PROPRIA,0.0,RENEGOCIACAO,C,2400,13.49,0.18,S,2,1
22,42000,ALUGADA,6.0,SAUDE,D,25000,14.59,0.6,S,2,1
26,48000,ALUGADA,2.0,EDUCACAO,B,25000,9.64,0.52,N,4,1
25,12996,PROPRIA,1.0,SAUDE,D,3600,14.59,0.28,N,3,1
25,42360,ALUGADA,1.0,EDUCACAO,E,25000,16.35,0.59,S,3,1
21,49000,ALUGADA,4.0,EDUCACAO,B,25000,10.99,0.51,N,2,1
25,225000,FINANCIADA,0.0,LAZER,F,25000,18.67,0.11,N,2,0
26,225000,ALUGADA,1.0,EDUCACAO,A,3000,9.32,0.01,N,4,0
23,225000,ALUGADA,8.0,RENEGOCIACAO,A,7500,8.63,0.03,N,2,0
26,225000,FINANCIADA,2.0,LAZER,B,25000,10.08,0.11,N,2,0
22,49464,ALUGADA,5.0,PESSOAL,B,25000,11.83,0.51,N,3,1
23,50000,ALUGADA,1.0,RENEGOCIACAO,A,25000,7.9,0.5,N,3,1
25,50000,ALUGADA,4.0,REFORMA,A,25000,5.99,0.5,N,2,1
24,44000,ALUGADA,2.0,RENEGOCIACAO,D,25000,15.33,0.57,N,2,1
23,50000,ALUGADA,1.0,LAZER,B,25000,11.83,0.5,N,4,1
22,50004,ALUGADA,0.0,LAZER,B,25000,10.36,0.5,N,2,1
22,50004,ALUGADA,3.0,LAZER,C,25000,12.23,0.5,N,3,1
22,52000,ALUGADA,2.0,EDUCACAO,B,25000,11.11,0.48,N,4,1
23,13200,PROPRIA,3.0,RENEGOCIACAO,A,4950,7.9,0.38,N,4,1
24,220000,FINANCIADA,1.0,EDUCACAO,B,25000,11.58,0.11,N,2,0
23,216000,FINANCIADA,5.0,RENEGOCIACAO,A,21000,8.9,0.1,N,3,0
25,216000,FINANCIADA,2.0,EDUCACAO,D,25000,16.07,0.12,N,3,0
26,216000,FINANCIADA,10.0,EDUCACAO,C,20000,14.22,0.09,S,2,0
23,215000,FINANCIADA,7.0,SAUDE,C,35000,14.79,0.16,S,3,0
26,215000,FINANCIADA,11.0,EDUCACAO,A,12000,7.88,0.06,N,2,0
23,52000,ALUGADA,1.0,PESSOAL,C,25000,13.22,0.48,N,2,1
26,46000,ALUGADA,2.0,RENEGOCIACAO,D,25000,11.86,0.54,N,4,1
22,53000,ALUGADA,5.0,EDUCACAO,C,25000,13.43,0.47,S,4,1
26,47000,ALUGADA,0.0,REFORMA,D,25000,15.28,0.53,S,2,1
23,47000,ALUGADA,1.0,LAZER,E,25000,17.93,0.53,N,2,1
23,13200,FINANCIADA,2.0,EDUCACAO,B,1400,9.25,0.11,N,4,0
21,13200,PROPRIA,0.0,LAZER,C,4500,12.98,0.34,N,4,1
22,210000,FINANCIADA,6.0,LAZER,B,16000,10.62,0.08,N,4,0
26,210000,PROPRIA,10.0,PESSOAL,B,22000,11.83,0.1,N,4,0
26,48000,ALUGADA,5.0,LAZER,F,25000,18.43,0.52,N,2,1
23,55000,ALUGADA,4.0,EDUCACAO,B,25000,11.36,0.45,N,3,1
23,55000,ALUGADA,4.0,EDUCACAO,D,25000,15.65,0.45,S,3,1
24,55164,ALUGADA,8.0,PESSOAL,C,25000,13.22,0.45,S,4,1
26,56000,ALUGADA,4.0,RENEGOCIACAO,C,25000,12.87,0.45,N,2,1
24,203500,PROPRIA,8.0,SAUDE,C,20000,13.04,0.1,N,3,0
23,190000,FINANCIADA,5.0,EDUCACAO,F,22000,17.58,0.12,S,3,1
23,13920,PROPRIA,2.0,PESSOAL,E,7750,17.04,0.56,N,4,1
24,60000,ALUGADA,0.0,PESSOAL,B,25000,10.99,0.42,N,3,1
24,60000,ALUGADA,2.0,PESSOAL,B,25000,11.11,0.42,N,3,1
26,54000,ALUGADA,7.0,RENEGOCIACAO,D,25000,14.83,0.46,S,2,1
24,200000,ALUGADA,8.0,SAUDE,B,12000,12.69,0.06,N,2,0
24,200000,FINANCIADA,8.0,REFORMA,C,12000,13.49,0.06,N,2,0
21,200000,FINANCIADA,5.0,EDUCACAO,C,16000,14.65,0.08,N,4,0
25,54000,ALUGADA,3.0,REFORMA,E,25000,16.82,0.46,N,4,1
23,60000,ALUGADA,3.0,PESSOAL,C,25000,12.73,0.42,N,3,1
23,60000,ALUGADA,7.0,PESSOAL,B,25000,10.25,0.42,N,4,1
21,60000,ALUGADA,6.0,EDUCACAO,B,25000,10.99,0.42,N,4,1
25,61959,ALUGADA,9.0,SAUDE,C,25000,12.73,0.4,N,2,1
22,56400,ALUGADA,2.0,REFORMA,D,25000,14.96,0.44,S,3,1
21,200000,FINANCIADA,2.0,RENEGOCIACAO,C,25000,13.99,0.13,N,2,0
24,200000,FINANCIADA,3.0,LAZER,A,24000,7.49,0.12,N,4,0
26,200000,FINANCIADA,4.0,EDUCACAO,C,15000,14.79,0.07,N,3,0
25,200000,FINANCIADA,2.0,RENEGOCIACAO,B,15500,11.99,0.08,N,2,0
